,,blk_kick,blk_kick_ret_td,blk_kick_ret_yd,bonus_pass_yd_300,bonus_pass_yd_400,bonus_rec_rb,bonus_rec_te,bonus_rec_wr,bonus_rec_yd_100,bonus_rec_yd_200,bonus_rush_yd_100,bonus_rush_yd_200,cmp_pct,def_2pt,def_kr,def_kr_lng,def_kr_td,def_kr_yd,def_pass_def,def_pr,def_pr_lng,def_pr_td,def_pr_yd,def_snp,def_st_td,def_td,down_3_att,down_3_conv,down_3_pct,down_4_att,down_4_conv,down_4_pct,dropback,fan_pts_allow,fan_pts_allow_k,fan_pts_allow_qb,fan_pts_allow_rb,fan_pts_allow_te,fan_pts_allow_wr,fd,ff,fg_blkd,fga,fgm,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,fgm_lng,fgm_pct,fgmiss,fum,fum_lost,fum_rec,fum_ret_yd,g2g_att,g2g_conv,g2g_pct,giveaway,gms_active,gp,gs,humidity,idp_blk_kick,idp_def_td,idp_ff,idp_fum_rec,idp_int,idp_pass_def,idp_sack,idp_safe,idp_tkl,idp_tkl_ast,idp_tkl_solo,int,int_ret_yd,kr,kr_lng,kr_td,kr_yd,kr_ypa,off_play,off_snp,off_yd,off_yd_per_play,opp_fd,opp_off_play,opp_off_yd,opp_off_yd_per_play,opp_pass_fd,opp_rush_fd,opp_score,opp_score_ot,opp_score_q1,opp_score_q2,opp_score_q3,opp_score_q4,over_under,pass_2pt,pass_att,pass_cmp,pass_fd,pass_inc,pass_int,pass_lng,pass_rtg,pass_sack,pass_sack_yds,pass_td,pass_yd,pass_ypa,pass_ypc,penalty,penalty_yd,point_spread,pr,pr_lng,pr_td,pr_yd,pr_ypa,pts_allow,pts_allow_0,pts_allow_14_20,pts_allow_1_6,pts_allow_21_27,pts_allow_28_34,pts_allow_35p,pts_allow_7_13,pts_half_ppr,pts_ppr,pts_std,punt_avg,punt_blkd,punt_in_20,punt_lng,punt_net_avg,punt_net_yd,punt_tb,punt_yds,punts,qb_hit,rec,rec_2pt,rec_lng,rec_pct,rec_td,rec_tgt,rec_yd,rec_ypr,rec_ypt,rush_2pt,rush_att,rush_fd,rush_lng,rush_td,rush_yd,rush_ypa,rz_att,rz_conv,rz_pct,sack,sack_yd,safe,score,score_ot,score_q1,score_q2,score_q3,score_q4,st_ff,st_fum_rec,st_snp,st_td,st_tkl_solo,takeaway,td,temperature,tkl,tkl_ast,tkl_loss,tkl_solo,tm_def_snp,tm_off_snp,tm_st_snp,turnover_diff,wind_speed,xp_blkd,xpa,xpm,yds_allow,yds_allow_0_100,yds_allow_100_199,yds_allow_200_299,yds_allow_300_349,yds_allow_350_399,yds_allow_400_449,yds_allow_450_499,yds_allow_500_549,yds_allow_550p,year
1564,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,11.0,11.0,,799.0,,,,,,,,,3.0,,1.0,,,22.0,307.0,,599.0,27.23,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,35.2,19.2,,,,,,,,,,,16.0,,64.0,743.3,,21.0,91.0,5.69,4.33,,21.0,,68.0,,101.0,4.81,,,,,,,,,,,,,,,135.0,,2.0,,,995.0,,,,,1089.0,1004.0,404.0,,114.0,,,,,,,,,,,,,,2016
6361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
314,,,,,,,,,,,,,,,,,,,,,,,,,527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,13.0,1114.0,,,,,,3.0,1.5,,22.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,26.6,26.6,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,49.0,,,,,926.0,,,0.5,,1027.0,1037.0,344.0,,133.0,,,,,,,,,,,,,,2016
6228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,1044.0,,,,,,,,,1.0,,1.0,,,,,,,,,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,884.0,,,,,1081.0,1087.0,356.0,,118.0,,,,,,,,,,,,,,2016
1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,-7.0,,,,,15.0,15.0,4.0,910.0,,,,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,827.0,,,,,1045.0,1083.0,323.0,,151.0,,,,,,,,,,,,,,2016
6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
1466,,,,,,,,85.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,15.0,954.0,,,,,,,,,,,,,,,,,,,,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5,223.0,138.0,,,,,,,,,,,85.0,1.0,415.0,1158.7,4.0,117.0,1125.0,13.24,9.62,,1.0,,-5.0,,-5.0,-5.0,,,,,,,,,,,,,,,14.0,,,,4.0,849.0,,,,,1118.0,1024.0,387.0,,151.0,,,,,,,,,,,,,,2016
6697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
1470,,,,,,,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,807.0,,,,,,,,,16.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,,2.0,,,970.0,,,,,1071.0,1063.0,387.0,,121.0,,,,,,,,,,,,,,2016
1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,61.0,67.0,22.0,,7.0,,,,,,,,,,,,,,2016
4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
2643,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,739.0,,,,,1.0,1.0,,,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,,2.0,,,893.0,,,,,1096.0,1063.0,347.0,,137.0,,,,,,,,,,,,,,2016
3849,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,100.0,,,,,123.0,136.0,57.0,,18.0,,,,,,,,,,,,,,2016
2430,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,813.0,1.0,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,7.9,4.9,,,,,,,,,,,3.0,,8.0,166.7,,4.0,15.0,5.0,3.75,,9.0,,15.0,,34.0,3.78,,,,,,,,,,,,,,,93.0,,,,,882.0,,,,,1041.0,1134.0,387.0,,165.0,,,,,,,,,,,,,,2016
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
6741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
1561,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,826.0,1.0,,1.0,,,,1.0,,3.0,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,36.0,,,,,913.0,,,,,1019.0,1133.0,362.0,,158.0,,,,,,,,,,,,,,2016
3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,,,,,190.0,206.0,64.0,,43.0,,,,,,,,,,,,,,2016
3664,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,171.0,,,,,,,,,,,,,,1.0,22.0,,22.0,22.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.8,1.8,,,,,,,,,,,2.0,,10.0,100.0,,2.0,16.0,8.0,8.0,,1.0,,2.0,,2.0,2.0,,,,,,,,,,,,,,,3.0,,,,,136.0,,,,,176.0,215.0,76.0,,39.0,,,,,,,,,,,,,,2016
1901,,,,,,,40.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,16.0,16.0,16.0,910.0,,,,,,,,,2.0,,1.0,,,,,,,,,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.1,205.1,165.1,,,,,,,,,,,40.0,,209.0,1134.0,,53.0,319.0,7.97,6.02,,198.0,,378.0,7.0,952.0,4.81,,,,,,,,,,,,,,,1.0,,1.0,,7.0,874.0,,,,,1113.0,1030.0,386.0,,195.0,,,,,,,,,,,,,,2016
5873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,,,,,471.0,446.0,181.0,,86.0,,,,,,,,,,,,,,2016
5589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
678,,,,,,,,,,,,,,,,,,,,,,,,,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,16.0,937.0,,,2.0,,1.0,6.0,12.5,,70.0,14.0,50.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.3,130.3,130.3,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,255.0,,3.0,,,864.0,,,9.5,,1074.0,1064.0,348.0,,150.0,,,,,,,,,,,,,,2016
5708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
411,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,954.0,,,,,,,,,,,,,,,,,,,,629.0,,,,,,,,,,,,,,,,,1.0,,,,,,39.58,,,,,,,,,,,,,,,,,,,,,,,87.5,109.5,65.5,,,,,,,,,,,44.0,,243.0,704.3,2.0,76.0,536.0,12.18,7.05,,1.0,,-1.0,,-1.0,-1.0,,,,,,,,,,,,,,,4.0,,,,2.0,849.0,,,,,1118.0,1024.0,387.0,,151.0,,,,,,,,,,,,,,2016
2668,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,697.0,,,,,,,,,6.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,987.0,,,1.0,,1074.0,1151.0,417.0,,84.0,,,,,,,,,,,,,,2016
2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,,,,1076.0,1112.0,404.0,,168.0,,,,,,,,,,,,,,2016
2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.0,,,,,1055.0,1060.0,361.0,,107.0,,,,,,,,,,,,,,2016
3296,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,2.0,910.0,,,,,,,,,,,,,,1.0,13.0,,13.0,13.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,34.7,24.7,,,,,,,,,,,10.0,,109.0,725.0,2.0,12.0,127.0,12.7,10.58,,,,,,,,,,,,,,,,,,,,,,96.0,,,,2.0,874.0,,,,,1113.0,1030.0,386.0,,195.0,,,,,,,,,,,,,,2016
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.0,,,,,1110.0,1061.0,445.0,,129.0,,,,,,,,,,,,,,2016
3509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,44.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,68.0,49.0,16.0,,8.0,,,,,,,,,,,,,,2016
2078,,,,,,,,,101.0,3.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,16.0,16.0,16.0,947.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1002.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,10.0,36.0,,66.0,6.6,,,,,,,,,246.1,296.6,195.6,,,,,,,,,,,101.0,,478.0,962.0,10.0,169.0,1367.0,13.53,8.09,,1.0,,9.0,,9.0,9.0,,,,,,,,,,,,,,,20.0,,,,10.0,833.0,,,,,1110.0,1061.0,445.0,,129.0,,,,,,,,,,,,,,2016
5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
5350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,1.0,1034.0,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,818.0,,,,,1074.0,1011.0,369.0,,149.0,,,,,,,,,,,,,,2016
2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,354.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,3.0,,,419.0,,,,,414.0,429.0,140.0,,33.0,,,,,,,,,,,,,,2016
2109,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,7.0,937.0,,,,,,,,,,,,,,,,,,,,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,864.0,,,,,1074.0,1064.0,348.0,,150.0,,,,,,,,,,,,,,2016
879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,16.0,824.0,,,,,,,,,,,,,,,,,,,,1119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,995.0,,,,,1049.0,1119.0,398.0,,121.0,,,,,,,,,,,,,,2016
TEAM_SF,,1.0,,,1.0,,,,,,,10.0,1.0,922.8,,38.0,357.0,,749.0,75.0,23.0,192.0,,216.0,,,,222.0,78.0,547.5,19.0,10.0,716.7,539.0,,,,,,,287.0,15.0,,,18.0,,,,,,,,,21.0,15.0,10.0,24.0,9.0,8.0,350.0,25.0,,,,1072.0,,,,,,,,,,,,,96.0,,,,,,997.0,,4930.0,79.5,358.0,1103.0,6501.0,93.3,187.0,140.0,480.0,6.0,93.0,152.0,98.0,131.0,722.0,,492.0,287.0,152.0,205.0,10.0,,1280.19,,,21.0,2911.0,5.92,10.14,99.0,831.0,99.0,,,,,,,16.0,,,,,,,,,,707.7,,,,259.8,1579.0,,4402.0,100.0,78.0,,,,,,,,,,,458.0,116.0,,15.0,2019.0,4.41,44.0,30.0,1043.4,31.0,106.0,1.0,309.0,,75.0,104.0,25.0,105.0,,,,,,20.0,36.0,994.0,,263.0,70.0,761.0,,,,-5.0,180.0,,,,,16.0,,,,,,,,,2016
1688,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,739.0,,,,,,,0.5,,15.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,15.4,15.4,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,285.0,,,,,893.0,,,,,1096.0,1063.0,347.0,,137.0,,,,,,,,,,,,,,2016
6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
